timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,blocksize,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,direct,filename,fio_job,group_reporting,image,index,iodepth,ioengine,ip_type,machine_type,max,mean,min,num_cpus,num_parallel_copies,num_striped_disks,numjobs,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,receiving_machine_type,receiving_zone,runtime,runtime_in_seconds,rw,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,size,stddev,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469812883.150461,iperf,Throughput,138.0,Mbits/sec,PerfKitBenchmarker,False,root,b07719ea-f2e6c44e-7474-474d-b86f-0479fb95f56b,05de1187-424d-44d6-9830-d3ca86d42975,,,,,,,,,,,,,,,,,,,,,,,external,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,t2.micro,us-east-1e,,30,,,,,t2.micro,1,us-east-1e,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,,
1469812914.170867,iperf,Throughput,815.0,Mbits/sec,PerfKitBenchmarker,False,root,b07719ea-f2e6c44e-7474-474d-b86f-0479fb95f56b,03884338-512d-412f-b1fc-5b34fc0c8214,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,t2.micro,us-east-1e,,30,,,,,t2.micro,1,us-east-1e,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,,
1469812944.781446,iperf,Throughput,137.0,Mbits/sec,PerfKitBenchmarker,False,root,b07719ea-f2e6c44e-7474-474d-b86f-0479fb95f56b,fa7bd422-54cd-40a8-94bc-21a5f8d7294a,,,,,,,,,,,,,,,,,,,,,,,external,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,t2.micro,us-east-1e,,30,,,,,t2.micro,1,us-east-1e,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,,
1469812976.193684,iperf,Throughput,824.0,Mbits/sec,PerfKitBenchmarker,False,root,b07719ea-f2e6c44e-7474-474d-b86f-0479fb95f56b,2008b449-2659-4573-91a9-4ea1c35346a6,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,t2.micro,us-east-1e,,30,,,,,t2.micro,1,us-east-1e,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,,
1469813122.15806,iperf,End to End Runtime,546.9215049743652,seconds,PerfKitBenchmarker,False,root,b07719ea-f2e6c44e-7474-474d-b86f-0479fb95f56b,192f3fdf-0cd1-4fc8-bd6f-513c811df056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,AWS,ami-cbdd50dc,t2.micro,1,us-east-1e,,
1469813483.252735,ping,Min Latency,0.621,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,a1196998-200b-4fd2-a7de-f5ff3394a212,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469813483.252753,ping,Average Latency,0.838,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,a1adc8e5-2a35-4a69-a50b-b98f17a60748,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469813483.252756,ping,Max Latency,4.126,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,eabbe9c0-7c77-4f11-9588-a500139c1245,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469813483.25276,ping,Latency Std Dev,0.383,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,5676d194-bfd5-4e76-b081-074d5e032863,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
1469813583.410377,ping,Min Latency,0.629,ms,PerfKitBenchmarker,False,root,b07719ea-c7bbe2c1-384d-495e-8d71-e0ab8b4c3e3c,8b1c7c81-c79a-4b9d-81d2-538681d3f600,,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,us-east-1b,,,,,,,,,us-east-1b,,,,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,AWS,ami-cbdd50dc,t2.micro,1,us-east-1b,,
