timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,image,index,ip_type,machine_type,num_cpus,num_parallel_copies,num_striped_disks,perfkitbenchmarker_version,receiving_machine_type,receiving_zone,runtime_in_seconds,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469835714.832595,iperf,Throughput,500.0,Mbits/sec,PerfKitBenchmarker,False,root,e299195c-cf5955fb-89b9-4f8d-bb31-258c1ef2118c,2d09c9e2-a5db-4d4d-9bec-fd937ef54391,,,,,,,,,,,external,,,,,unknown,Small,East US,30,,,,Small,1,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469835746.478354,iperf,Throughput,500.0,Mbits/sec,PerfKitBenchmarker,False,root,e299195c-cf5955fb-89b9-4f8d-bb31-258c1ef2118c,d0ee07e9-2fc0-428a-86d7-1f0f442aff13,,,,,,,,,,,internal,,,,,unknown,Small,East US,30,,,,Small,1,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469835777.388139,iperf,Throughput,501.0,Mbits/sec,PerfKitBenchmarker,False,root,e299195c-cf5955fb-89b9-4f8d-bb31-258c1ef2118c,0ec6062d-74c1-45ff-84a5-f567fbb54b2d,,,,,,,,,,,external,,,,,unknown,Small,East US,30,,,,Small,1,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469835809.561505,iperf,Throughput,501.0,Mbits/sec,PerfKitBenchmarker,False,root,e299195c-cf5955fb-89b9-4f8d-bb31-258c1ef2118c,88202de5-b34e-48a8-9e4e-45698d9889f1,,,,,,,,,,,internal,,,,,unknown,Small,East US,30,,,,Small,1,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836007.863642,iperf,End to End Runtime,924.2664000988007,seconds,PerfKitBenchmarker,False,root,e299195c-cf5955fb-89b9-4f8d-bb31-258c1ef2118c,a263c20b-06c6-4efc-a6bc-6f2a0f5ddf8f,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836424.319167,ping,Min Latency,0.374,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,e2cb3f04-cc4f-4431-a1ac-1bfd5e811e11,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836424.319198,ping,Average Latency,0.743,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,b6768fb4-1b27-4863-a4bb-bfcaf5eee500,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836424.319203,ping,Max Latency,1.995,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,619d51b9-17b1-4862-996c-136d8fa58119,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836424.319206,ping,Latency Std Dev,0.318,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,8897f4f0-84e7-4b32-925d-6cb292861517,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836532.454715,ping,Min Latency,0.384,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,fa822f56-4b2c-4e96-9da5-0245b88313f0,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
1469836532.454743,ping,Average Latency,0.729,ms,PerfKitBenchmarker,False,root,e299195c-a48c0e5b-686f-4bed-a93a-10643abe3bf5,a317ba28-094c-4572-98b1-d13e8cfc2909,,,,,,,,,,,internal,,,,,unknown,,East US,,,,,,,East US,,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,Azure,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,Small,1,East US,,
