timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,blocksize,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_durability,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,direct,filename,fio_job,group_reporting,image,index,iodepth,ioengine,ip_type,machine_type,max,mean,min,num_cpus,num_parallel_copies,num_striped_disks,numjobs,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,receiving_machine_type,receiving_zone,runtime,runtime_in_seconds,rw,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,size,stddev,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469828430.49626,iperf,Throughput,49.9,Mbits/sec,PerfKitBenchmarker,False,root,617afe83-c7718934-b2a4-4ef6-b03b-29154fd85855,4b42adc2-c96c-4628-ab9c-52fe9fb714b9,,,,,,,,,,,,,,,,,,,,,,external,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,general1-1,IAD,,30,,,,,general1-1,1,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828461.299966,iperf,Throughput,100.0,Mbits/sec,PerfKitBenchmarker,False,root,617afe83-c7718934-b2a4-4ef6-b03b-29154fd85855,c6526e4d-1d03-4713-981e-e91b628d22ce,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,general1-1,IAD,,30,,,,,general1-1,1,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828491.793775,iperf,Throughput,49.4,Mbits/sec,PerfKitBenchmarker,False,root,617afe83-c7718934-b2a4-4ef6-b03b-29154fd85855,aba0d049-b10a-41bf-ae89-a77d5768eda0,,,,,,,,,,,,,,,,,,,,,,external,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,general1-1,IAD,,30,,,,,general1-1,1,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828522.643471,iperf,Throughput,99.9,Mbits/sec,PerfKitBenchmarker,False,root,617afe83-c7718934-b2a4-4ef6-b03b-29154fd85855,b224038c-d6d7-449e-8185-781c6a07a446,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,general1-1,IAD,,30,,,,,general1-1,1,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828535.646758,iperf,End to End Runtime,204.1458339691162,seconds,PerfKitBenchmarker,False,root,617afe83-c7718934-b2a4-4ef6-b03b-29154fd85855,7d6f7c50-41a6-447b-8e8f-d2f208fce8e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828675.158703,ping,Min Latency,0.296,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,33f9f2d2-2078-4ca6-ba2e-2eab260d3126,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828675.158726,ping,Average Latency,0.73,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,ef50bf08-53a2-46b1-a105-1b1f6c25da74,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828675.15873,ping,Max Latency,11.719,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,195839a6-1ba9-453d-a67f-a0dc71bd8781,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828675.158734,ping,Latency Std Dev,1.697,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,9b6fb4d7-5b65-4623-ab07-7dc0eea18500,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
1469828774.934937,ping,Min Latency,0.3,ms,PerfKitBenchmarker,False,root,617afe83-be492b30-3be7-43a3-b8de-47d91983c11d,5fcf10a3-3619-4689-8bb6-845baae12193,,,,,,,,,,,,,,,,,,,,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,IAD,,,,,,,,,IAD,,,,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,Rackspace,09de0a66-3156-48b4-90a5-1cf25a905207,general1-1,1,IAD,,
